GEO2010,1970,1980,1990,2000,2010,seqC1,seqC2
06037701902,7,7,7,5,9,3,6
06037554406,1,1,1,1,4,2,7
06037554405,1,1,1,1,4,2,7
06037554302,4,1,1,4,2,5,2
06037554301,4,1,1,4,8,5,2
06037536104,3,3,4,4,2,3,7
06037535002,2,2,2,4,8,3,8
06037535001,2,2,2,4,2,3,8
06037533806,4,4,4,4,4,1,10
06037533805,4,4,4,4,4,1,10
06037533001,4,4,4,4,4,1,10
06037102103,9,9,3,3,4,3,5
06037295103,9,9,9,5,7,3,5
06037275602,9,1,3,3,10,5,1
06037275101,4,1,1,1,1,2,7
06037554204,1,1,1,1,10,2,7
06037554203,1,1,1,1,4,2,7
06037554105,1,1,1,10,4,3,7
06037554104,1,1,1,10,10,2,7
06037553504,4,4,4,4,3,2,10
06037239801,2,2,2,2,6,2,8
06037234901,8,2,2,2,2,2,8
06037214901,7,7,7,7,10,2,6
06037214503,7,7,7,7,8,2,6
06037211922,7,7,10,10,7,3,7
06037211804,7,7,1,10,7,5,6
06037211803,7,7,1,10,10,3,1
06037211202,7,10,10,10,10,2,9
06037265201,6,7,6,6,10,5,4
06037234502,8,8,8,8,4,2,8
06037234501,8,8,8,8,4,2,8
06037219901,2,8,2,10,10,5,8
06037214902,7,7,7,7,8,2,6
06037214502,7,7,7,7,2,2,6
06037212701,7,7,7,7,1,2,6
06037211703,7,7,10,10,6,3,7
06037208301,10,10,10,10,10,1,9
06037207102,10,10,10,10,10,1,9
06037207101,10,10,10,10,10,1,9
06037402304,1,1,4,10,9,5,7
06037211121,7,7,10,10,1,3,7
06037189201,7,7,7,7,10,2,6
06037185204,4,4,4,3,7,3,10
06037185203,4,4,4,3,7,3,10
06037208501,1,10,10,10,7,3,9
06037190801,7,10,10,10,6,3,9
06037190402,7,7,10,10,10,2,9
06037190401,7,7,7,10,10,2,6
06037190201,7,7,10,7,1,5,6
06037189904,7,7,7,7,7,1,6
06037408631,9,9,3,3,6,3,5
06037402303,1,1,4,10,3,5,7
06037402002,9,9,3,3,3,2,5
06037402001,9,9,3,3,9,3,5
06037400404,9,9,6,6,4,3,3
06037400207,9,9,9,9,4,2,5
06037531504,4,4,4,4,4,1,10
06037531503,4,4,4,4,4,1,10
06037206031,2,10,10,10,10,2,9
06037186301,3,3,4,4,10,3,7
06037183104,1,1,1,1,7,2,7
06037311801,1,1,1,1,3,2,7
06037980028,9,1,7,7,6,5,2
06037980026,3,3,3,3,6,2,5
06037408505,9,5,9,3,1,4,1
06037408504,9,5,9,3,1,4,1
06037406701,9,9,3,3,3,2,5
